Pl.;Dos;;Nom;Club;Sx;Cat;Par cat.;Sous Dine;Landron;Pré Arrivée;Temps;Ecart;Moy
1;2626;FRA;LOBRY Josué / VESSE Maxime;ANNECY ATHLÉTISME;Homme;HOM;1;01:26:19;01:41:55;02:11:00;02:12:53;;9,5
2;2631;FRA;CURT Nicola / LOURENCO Aurélien;AIN SPORT AIN OBJECTIF;Homme;HOM;2;01:27:08;01:43:10;02:14:06;02:16:00;+03:07;9,3
3;2506;FRA;PERNET-MUGNIER Romain / POCHAT Manu;;Homme;HOM;3;01:31:41;01:47:27;02:20:30;02:22:33;+09:40;8,8
4;2574;FRA;FOURNET Fabien / SANTILLI Laurent;COURIR À POISY;Homme;HOM;4;01:35:49;02:02:15;02:28:29;02:30:30;+17:37;8,4
5;2608;FRA;ANDRÉOLI Yoann / CONVERS Cédric;;Homme;HOM;5;01:35:45;01:54:46;02:29:55;02:32:01;+19:08;8,3
6;2629;FRA;NOYEZ Laurène / GENTIL Gwendal;COURIR À POISY;Mixte;MX;1;01:44:19;02:03:06;02:38:01;02:40:08;+27:15;7,9
7;2612;FRA;DEMOLIS Julien / SUSCILLON Vincent;;Homme;HOM;6;01:42:29;02:02:37;02:38:08;02:40:15;+27:22;7,9
8;2550;FRA;DE SOUSA Julien / CALCINA Antoine;;Homme;HOM;7;01:47:28;02:06:54;02:41:11;02:43:11;+30:18;7,7
9;2591;FRA;BOBILLIER Mathias / DAUBEUF Margot;;Mixte;MX;2;01:46:09;02:05:08;02:42:14;02:44:26;+31:33;7,7
10;2551;FRA;PANISSET Louis / GUILLEMAIN Tom;;Homme;HOM;8;01:48:22;02:06:37;02:44:47;02:46:43;+33:50;7,6
11;2615;FRA;MONTAGNON Quentin / DEMAISON Anthony;SANGLIER FC;Homme;HOM;9;01:48:53;02:08:50;02:48:24;02:50:44;+37:51;7,4
12;2584;FRA;FIORESE Bruno / VINCENT Pédram;;Homme;HOM;10;01:50:50;02:12:50;02:55:08;02:57:30;+44:37;7,1
13;2582;FRA;GRUBER Mickael / SCHOUMANN Claire;SO TRAIL ANNECY;Mixte;MX;3;01:49:11;02:13:00;02:55:49;02:58:03;+45:10;7,1
14;2545;FRA;DALLA VALLE Thomas / KUBLER Sylvain;;Homme;HOM;11;01:49:06;02:10:16;02:55:22;02:58:04;+45:11;7,1
15;2558;FRA;JIGUET Marc / MAILLET Loic;;Homme;HOM;12;01:51:23;02:13:33;02:56:16;02:58:56;+46:03;7
16;2541;FRA;TIVAN Josselin / HUGUEL Méganne;;Mixte;MX;4;01:51:26;02:15:54;02:58:47;03:01:01;+48:08;7
17;2601;FRA;LASSUEUR Pierre / CROS Maxime;;Homme;HOM;13;01:50:10;02:11:44;02:59:05;03:01:26;+48:33;6,9
18;2510;FRA;DECAMP Axel / BOBILLON Alexandre;;Homme;HOM;14;01:53:32;02:16:07;02:59:18;03:01:57;+49:04;6,9
19;2617;FRA;PEILLEX-DELPHES David / ALVES Thomas;;Homme;HOM;15;01:55:08;02:15:18;03:00:36;03:02:54;+50:01;6,9
20;2618;FRA;LOPES Philippe / SALLET Julien;;Homme;HOM;16;01:53:15;02:14:01;03:01:12;03:03:42;+50:49;6,9
21;2613;FRA;DUPENLOUP Theo / MANDEREAU Clément;;Homme;HOM;17;01:50:11;02:14:10;03:01:40;03:03:54;+51:01;6,9
22;2566;FRA;JEAN-LOUIS Sylvain / GIROUD Audrey;;Mixte;MX;5;01:55:32;02:19:39;03:02:14;03:04:27;+51:34;6,8
23;2598;FRA;BIENVENU Julien / REY Hugo;;Homme;HOM;18;01:57:08;02:20:30;03:03:09;03:05:41;+52:48;6,8
24;2587;FRA;ZANOLLA Marion / MASCIAVE Virginie;;Femme;FEM;1;02:09:54;02:33:50;03:15:05;03:17:20;+01:04:27;6,4
25;2531;FRA;BAYEUX Emile / FERNANDEZ Jessica;;Mixte;MX;6;02:00:01;02:26:58;03:16:59;03:19:30;+01:06:37;6,3
26;2508;FRA;CELLIER Jessica / SAIRE Gauthier;SALÈVE TRAIL;Mixte;MX;7;02:06:22;02:30:44;03:18:43;03:20:36;+01:07:43;6,3
